year,state_name,Levels Of Crime,Category,Value
1995,California,Level 4,Property Crime,1536830
1996,California,Level 4,Property Crime,1385135
1997,California,Level 4,Property Crime,1312367
2004,California,Level 4,Property Crime,1227194
2003,California,Level 4,Property Crime,1215086
2005,California,Level 4,Property Crime,1200531
1998,California,Level 4,Property Crime,1188791
2002,California,Level 4,Property Crime,1176484
2006,California,Level 4,Property Crime,1159988
2001,California,Level 4,Property Crime,1134189
2007,California,Level 4,Property Crime,1112510
2008,California,Level 4,Property Crime,1080996
2000,California,Level 4,Property Crime,1056183
1999,California,Level 4,Property Crime,1053285
2012,California,Level 4,Property Crime,1049465
2015,California,Level 4,Property Crime,1024914
2013,California,Level 4,Property Crime,1018907
2003,Texas,Level 4,Property Crime,1016735
2004,Texas,Level 4,Property Crime,1010702
2009,California,Level 4,Property Crime,1009433
2002,Texas,Level 4,Property Crime,1004274
2009,Texas,Level 4,Property Crime,995082
2005,Texas,Level 4,Property Crime,990293
2007,Texas,Level 4,Property Crime,985421
2010,California,Level 4,Property Crime,981939
2001,Texas,Level 4,Property Crime,976654
2011,California,Level 4,Property Crime,973822
2008,Texas,Level 4,Property Crime,969865
1996,Texas,Level 4,Property Crime,968732
2006,Texas,Level 4,Property Crime,959846
2010,Texas,Level 4,Property Crime,951246
1997,Texas,Level 4,Property Crime,948231
2014,California,Level 4,Property Crime,947193
1995,Texas,Level 4,Property Crime,940033
1995,Florida,Level 4,Property Crime,939288
1996,Florida,Level 4,Property Crime,928273
2000,Texas,Level 4,Property Crime,919658
1997,Florida,Level 4,Property Crime,915613
1995,California,Level 4,Larceny,902456
1998,Texas,Level 4,Property Crime,898496
1999,Texas,Level 4,Property Crime,896261
2011,Texas,Level 4,Property Crime,892810
1998,Florida,Level 4,Property Crime,887107
2012,Texas,Level 4,Property Crime,876459
2013,Texas,Level 4,Property Crime,862289
1996,California,Level 4,Larceny,830457
2014,Texas,Level 4,Property Crime,813515
1999,Florida,Level 4,Property Crime,808674
1997,California,Level 4,Larceny,784405
2001,Florida,Level 4,Property Crime,782517
2000,Florida,Level 4,Property Crime,780377
2015,Texas,Level 4,Property Crime,779234
2002,Florida,Level 4,Property Crime,777236
2008,Florida,Level 4,Property Crime,758889
2003,Florida,Level 4,Property Crime,757696
2007,Florida,Level 4,Property Crime,746249
2003,California,Level 4,Larceny,731486
2004,California,Level 4,Larceny,728687
2004,Florida,Level 4,Property Crime,727141
1998,California,Level 4,Larceny,724262
2006,Florida,Level 4,Property Crime,721101
2002,California,Level 4,Larceny,715692
2005,Florida,Level 4,Property Crime,712998
2009,Florida,Level 4,Property Crime,712010
2003,Texas,Level 4,Larceny,698644
2001,California,Level 4,Larceny,697739
2004,Texas,Level 4,Larceny,696507
2005,California,Level 4,Larceny,692467
2002,Texas,Level 4,Larceny,688992
2009,Texas,Level 4,Larceny,678455
2005,Texas,Level 4,Larceny,677042
1995,New York,Level 4,Property Crime,674342
2011,Florida,Level 4,Property Crime,671200
2001,Texas,Level 4,Larceny,669625
2006,California,Level 4,Larceny,669103
2010,Florida,Level 4,Property Crime,669035
2007,Texas,Level 4,Larceny,663101
1999,California,Level 4,Larceny,660991
1996,Texas,Level 4,Larceny,659414
2015,California,Level 4,Larceny,656517
2010,Texas,Level 4,Larceny,654626
2007,California,Level 4,Larceny,654526
2008,Texas,Level 4,Larceny,654435
2000,California,Level 4,Larceny,651855
2008,California,Level 4,Larceny,650656
2006,Texas,Level 4,Larceny,648711
1997,Texas,Level 4,Larceny,645451
2000,Texas,Level 4,Larceny,637522
2012,California,Level 4,Larceny,635090
2012,Florida,Level 4,Property Crime,632988
1995,Texas,Level 4,Larceny,632468
2013,California,Level 4,Larceny,621557
1996,New York,Level 4,Property Crime,619250
2009,California,Level 4,Larceny,615402
1999,Texas,Level 4,Larceny,613862
2011,Texas,Level 4,Larceny,613131
1995,Florida,Level 4,Larceny,612311
2013,Florida,Level 4,Property Crime,607170
1998,Texas,Level 4,Larceny,606967
2012,Texas,Level 4,Larceny,606425
1996,Florida,Level 4,Larceny,605448
2013,Texas,Level 4,Larceny,605440
2010,California,Level 4,Larceny,600558
2011,California,Level 4,Larceny,596905
1997,Florida,Level 4,Larceny,594492
2014,California,Level 4,Larceny,592673
1997,New York,Level 4,Property Crime,584438
2014,Florida,Level 4,Property Crime,583774
1998,Florida,Level 4,Larceny,579752
2014,Texas,Level 4,Larceny,577018
2015,Florida,Level 4,Property Crime,570270
2015,Texas,Level 4,Larceny,558653
1998,New York,Level 4,Property Crime,536287
1999,Florida,Level 4,Larceny,534105
1995,Illinois,Level 4,Property Crime,527572
1996,Illinois,Level 4,Property Crime,524777
2000,Florida,Level 4,Larceny,518298
2001,Florida,Level 4,Larceny,516548
2002,Florida,Level 4,Larceny,511478
1997,Illinois,Level 4,Property Crime,509113
2008,Florida,Level 4,Larceny,506902
2003,Florida,Level 4,Larceny,505489
2007,Florida,Level 4,Larceny,490783
1999,New York,Level 4,Property Crime,489596
1998,Illinois,Level 4,Property Crime,487915
2000,New York,Level 4,Property Crime,483078
2004,Florida,Level 4,Larceny,482484
2009,Florida,Level 4,Larceny,479867
2006,Florida,Level 4,Larceny,473774
2005,Florida,Level 4,Larceny,472912
1999,Illinois,Level 4,Property Crime,463939
2011,Florida,Level 4,Larceny,461408
2010,Florida,Level 4,Larceny,458454
2001,New York,Level 4,Property Crime,458003
2000,Illinois,Level 4,Property Crime,445278
2012,Florida,Level 4,Larceny,442095
2002,New York,Level 4,Property Crime,442091
2001,Illinois,Level 4,Property Crime,434648
2013,Florida,Level 4,Larceny,433344
2003,New York,Level 4,Property Crime,432079
2002,Illinois,Level 4,Property Crime,430479
2014,Florida,Level 4,Larceny,426197
1995,New York,Level 4,Larceny,425184
2006,Ohio,Level 4,Property Crime,423334
2004,New York,Level 4,Property Crime,422734
2015,Florida,Level 4,Larceny,420341
2003,Illinois,Level 4,Property Crime,415885
2005,New York,Level 4,Property Crime,405990
2004,Illinois,Level 4,Property Crime,403486
1996,New York,Level 4,Larceny,399522
2006,New York,Level 4,Property Crime,398577
2005,Illinois,Level 4,Property Crime,394670
2008,New York,Level 4,Property Crime,388599
1997,New York,Level 4,Larceny,386435
2007,New York,Level 4,Property Crime,383624
2011,Ohio,Level 4,Property Crime,380572
2010,New York,Level 4,Property Crime,379710
2008,Illinois,Level 4,Property Crime,378355
2009,New York,Level 4,Property Crime,377537
2007,Illinois,Level 4,Property Crime,377322
2010,Ohio,Level 4,Property Crime,376836
2012,New York,Level 4,Property Crime,375268
2011,New York,Level 4,Property Crime,371837
2012,Ohio,Level 4,Property Crime,370435
1998,New York,Level 4,Larceny,363295
2013,New York,Level 4,Property Crime,358603
1996,Illinois,Level 4,Larceny,358515
1995,Illinois,Level 4,Larceny,357143
1995,California,Level 3,Burglary,353895
2009,Illinois,Level 4,Property Crime,353347
1997,Illinois,Level 4,Larceny,350140
2000,New York,Level 4,Larceny,340901
2013,Georgia,Level 4,Property Crime,339808
2014,Georgia,Level 4,Property Crime,339146
2014,New York,Level 4,Property Crime,339113
1999,New York,Level 4,Larceny,338118
1998,Illinois,Level 4,Larceny,337191
2001,New York,Level 4,Larceny,329316
1999,Illinois,Level 4,Larceny,320954
2002,New York,Level 4,Larceny,318025
2015,New York,Level 4,Property Crime,317225
2015,Georgia,Level 4,Property Crime,316013
2000,Illinois,Level 4,Larceny,313161
1996,California,Level 3,Burglary,312212
2003,New York,Level 4,Larceny,311422
2004,New York,Level 4,Larceny,311036
2001,Illinois,Level 4,Larceny,306757
1995,California,Level 2,Violent Crime,305154
2002,Illinois,Level 4,Larceny,304227
2005,New York,Level 4,Larceny,302220
1997,California,Level 3,Burglary,299240
2008,New York,Level 4,Larceny,297962
2006,New York,Level 4,Larceny,297827
2003,Illinois,Level 4,Larceny,295907
2012,New York,Level 4,Larceny,293562
2010,New York,Level 4,Larceny,293232
2009,New York,Level 4,Larceny,292897
2007,New York,Level 4,Larceny,290681
2011,New York,Level 4,Larceny,287361
2004,Illinois,Level 4,Larceny,287025
2013,New York,Level 4,Larceny,286676
1995,California,Level 3,Motor Vehicle Theft,280479
